sedafips,fips,stateabb,sedafipsname,subject,subgroup,ys_mn_2016_ol,ys_mn_2016_ol_se_adj,ys_mn_2016_eb,ys_mn_2016_eb_se_adj,ys_mn_2017_ol,ys_mn_2017_ol_se_adj,ys_mn_2017_eb_se_adj,ys_mn_2017_eb,ys_mn_2018_ol,ys_mn_2018_ol_se_adj,ys_mn_2018_eb,ys_mn_2018_eb_se_adj,ys_mn_2019_ol,ys_mn_2019_ol_se_adj,ys_mn_2019_eb_se_adj,ys_mn_2019_eb,ys_mn_2022_ol,ys_mn_2022_ol_se_adj,ys_mn_2022_eb,ys_mn_2022_eb_se_adj,ys_mn_2023_ol,ys_mn_2023_ol_se_adj,ys_mn_2023_eb,ys_mn_2023_eb_se_adj,ys_mn_1922_ol,ys_mn_1922_ol_se_adj,ys_mn_1922_eb,ys_mn_1922_eb_se_adj,ys_mn_1923_ol,ys_mn_1923_ol_se_adj,ys_mn_1923_eb,ys_mn_1923_eb_se_adj,ys_mn_2223_ol,ys_mn_2223_ol_se_adj,ys_mn_2223_eb,ys_mn_2223_eb_se_adj,avgasmt_2016,avgasmt_2017,avgasmt_2018,avgasmt_2019,avgasmt_2022,avgasmt_2023,tot_2016,tot_2017,tot_2018,tot_2019,tot_2022,tot_2023,cell_2016,cell_2017,cell_2018,cell_2019,cell_2022,cell_2023,flag_estasmt2022,flag_estasmt2023
1,1,AL,Alabama,mth,all,-.2729207253238179,.0150980270314246,-.2761335060506938,.0127074510871597,-.2550569443154692,.0219886255669596,.0175711195450458,-.2635753602413339,-.2802935093169945,.0159784763523047,-.2752768096197363,.012842683116641,-.3055300743185198,.0231893762710577,.0187348284345368,-.2869782589981387,-.3247646113595409,.0264239095115174,-.3421630741137867,.0244705526651698,-.246912400034504,.0265520978240828,-.2644936717752344,.0246074735138686,-.0192345370410211,.0351563673566192,-.0551848151156479,.0308188537134394,.0586176742840158,.0352528164931592,.0224845872229043,.0309276825709149,.0778522113250369,.0026059364894023,.0776694023385522,.0025971195068658,55453.66666666666,55793.83333333334,56407.33333333334,56542.16666666666,55714,56124,332722,334763,338444,339253,334284,336744,6,6,6,6,6,6,1,1
1,1,AL,Alabama,mth,blk,-.6763460895230086,.0153628795316699,-.6787823373930001,.0131171155213441,-.6810452701093519,.0221795673247622,.0123720213497575,-.6934708304244356,-.7210567031542684,.0162494461421603,-.7084247827124254,.011163572539614,-.7435901814199589,.0233838441521645,.0162084174754309,-.7232253829704258,-.8043264965835291,.0266132283187818,-.8196951402412052,.0247831153489604,-.7033404125361755,.0266009518917313,-.7192935137973308,.0247803768108874,-.0607363151635701,.0354269401568965,-.0964697572707793,.0296127608212698,.0402497688837834,.0357000933364105,.0039318691730951,.0296104689585866,.1009860840473535,.0044077857647682,.1004016264438744,.0043757649729332,17976.66666666667,18001.5,18350.33333333333,18383.16666666667,18074.33333333333,18254,107860,108009,110102,110299,108446,109524,6,6,6,6,6,6,1,1
1,1,AL,Alabama,mth,hsp,-.4941124260207478,.0162680755739285,-.4966464543778342,.0125876683170664,-.4938866153027475,.0228008587796298,.0117742167591633,-.5034228245248717,-.5114308983103085,.0170273036974825,-.5102234028720645,.0107418236302017,-.5489908465176075,.0238964187994269,.016949436486661,-.5170594413582745,-.5324983314160279,.0269817816768217,-.548690593185319,.0237950022526608,-.4786051745009489,.0269751647619484,-.4959920606953165,.0246940713260669,.0164925151015797,.0360424107669461,-.0316311518270445,.0292144746558874,.0703856720166586,.0368549242644384,.021067380662958,.0299513030746951,.053893156915079,.0076961073695871,.0526985324900025,.0071009776085493,3962.833333333333,4427.166666666667,4771.333333333333,5128.666666666667,5766.166666666667,5817.166666666667,23777,26563,28628,30772,34597,34903,6,6,6,6,6,6,1,1
1,1,AL,Alabama,mth,wht,-.0327354326405999,.0152642950951834,-.0402084484710323,.0116731434257831,-.0001515603202362,.0221127967616642,.0123905442107235,-.0312385776726207,-.0170185140464623,.016149659638801,-.0223244006094871,.0097968055464654,-.041624088708625,.0233158111824896,.0149520681700361,-.0134267094381322,-.0584046524805752,.0265297378326285,-.0706815875850219,.0235567794564632,.0117003518406267,.0265314287478308,-.0008125385461422,.0236079968162458,-.0167805637719502,.0353193154034093,-.0572548781468897,.0279013655744993,.0533244405492517,.0354788916637626,.01261417089199,.0279446212398251,.0701050043212019,.0033612070932176,.0698690490388797,.0033285915654358,31320,30674.16666666667,30466.66666666667,30160.16666666667,28847.16666666667,29011.5,187920,184045,182800,180961,173083,174069,6,6,6,6,6,6,1,1
1,1,AL,Alabama,rla,all,-.070439398428138,.0163673631195538,-.0728819782177805,.0129896028130409,-.0887574544376417,.0223046027369424,.0163229676905743,-.0958622897505608,-.1414649233675405,.016253955151345,-.1355321852794057,.0118589923154106,-.1941723922974394,.023648867393491,.0172076587809132,-.1752020808082508,-.1822436229627808,.0269361191396342,-.1988306828244935,.0238529524510069,,,,,.0119287693346585,.0358444339235464,-.0236286020162427,.0294120189947976,,,,,,,,,55306.33333333334,55680.16666666666,56339,56404.83333333334,55713.83333333334,,331838,334081,338034,338429,334283,,6,6,6,6,6,,1,
1,1,AL,Alabama,rla,blk,-.4419830709843313,.0166938767046168,-.4477611543734082,.0135090412802804,-.4768458012827964,.022568847984532,.011462264370642,-.4933144291878795,-.5655813929909863,.0165770810100519,-.5389804854750231,.0112522104436376,-.6140980835353251,.0238767769105538,.0162662845251192,-.5845401405523007,-.5876962821182539,.0271104745046744,-.6045870462085985,.0244360479725879,,,,,.0264018014170713,.0361258675121436,-.0200469056562977,.0293549391546082,,,,,,,,,17977,18018,18353,18394.5,18074.83333333333,,107862,108108,110118,110367,108449,,6,6,6,6,6,,1,
1,1,AL,Alabama,rla,hsp,-.3762330079520023,.0179517287243286,-.5062825064287951,.0146486296157643,-.4266925771582833,.0234782260475099,.0119317946533549,-.5301903228830886,-.5842218793539504,.0176558415747759,-.5541894533184004,.0126171131340457,-.6252750642015754,.0245946948476313,.0155025372307938,-.5780671978988604,-.4762072981070371,.027524730058783,-.5030838717470408,.0248925456654276,,,,,.1490677660945383,.0369121901200264,.0749833261518196,.0293252023061657,,,,,,,,,3863.666666666667,4329.666666666667,4717.833333333333,5003.666666666667,5766.166666666667,,23182,25978,28307,30022,34597,,6,6,6,6,6,,1,
1,1,AL,Alabama,rla,wht,.1695388610125106,.0165342081036943,.1680463066763822,.0122315079380105,.166884426466034,.0224421576939999,.0113003830531418,.1529546664884446,.1595707875335758,.016443274344229,.1378632473076228,.0102045420294891,.110426353678296,.0237861947132916,.0141644913771245,.122728238964885,.0564386152211881,.0270616574405527,.0515418136906228,.0228831750217564,,,,,-.0539877384571079,.0360293819315353,-.0711864252742622,.0269123115887315,,,,,,,,,31306.66666666667,30670,30468.66666666667,30160,28847.5,,187840,184020,182812,180960,173085,,6,6,6,6,6,,1,
2,2,AK,Alaska,mth,all,-.1347898374063619,.0146416045966455,-.1338991522844389,.0124869595934467,-.2041712352754697,.0187113833404596,.0156701166655882,-.1895213249249142,-.1967198426065958,.0126719316021404,-.1987655902847665,.0108448545748361,-.1892684499377219,.0170937279609707,.0149963637820718,-.2080098556446189,-.3534687803922767,.0272143219426237,-.3554995535647412,.0250250846614724,,,,,-.1642003304545548,.0321374369606608,-.1474896979201223,.0291744029758639,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2,2,AK,Alaska,rla,all,-.1664492408868342,.0149875308412582,-.1663390915490591,.0120845096299285,-.2231317240563009,.020222475778496,.0150612203853469,-.2179279098999007,-.2666160109131031,.0143881481158394,-.2631615430555282,.0108822339095532,-.3101002977699053,.0204725840626305,.0157115148840883,-.3083951762111557,-.3130884963813935,.0274257152895508,-.3293912687485603,.0240861950615982,,,,,-.0029881986114882,.0342242101054936,-.0209960925374046,.0287575467051396,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
